THE MOUSETRAP — A2+ ADDITION CANDIDATES — PARTS 1+2 UNIQUE
Scope: global speeches 1-582
Pipeline: extract Oxford A2+ occurrences -> deduplicate by headword -> remove currently implemented dictionary headwords -> deduplicate across Parts 1 and 2.
Unique final Oxford A2+ candidates across Parts 1+2: 297

word	cefr	parts	occurrences	firstSpeechId	surfaceForms	allOxfordLevels
able	A2	1,2	3	act1-scene1-speech-0121	able	A2
act	A2/B1	1	1	act1-scene1-speech-0054	acts	A2/B1
actually	A2	1,2	3	act1-scene1-speech-0067	actually	A2
advance	B2	1,2	2	act1-scene1-speech-0033	advance	B2
affect	A2	2	1	act1-scene2-speech-0293	affect	A2
after	A2	2	5	act1-scene2-speech-0207	after	A1/A2
against	A2	1,2	3	act1-scene1-speech-0001	against	A2
age	B1	1	1	act1-scene1-speech-0054	ages	A1/B1
ah	A2	1,2	4	act1-scene1-speech-0046	ah	A2
all	A2	1,2	70	act1-scene1-speech-0004	all	A1/A2
allow	A2	2	1	act1-scene2-speech-0135	allow	A2
almost	A2	2	1	act1-scene2-speech-0266	almost	A2
alone	A2	2	4	act1-scene2-speech-0172	alone	A2
along	A2	1,2	4	act1-scene1-speech-0013	along	A2
already	A2	1,2	4	act1-scene1-speech-0190	already	A2
any	A2	1,2	19	act1-scene1-speech-0011	any	A1/A2
anybody	A2	2	2	act2-speech-0003	anybody	A2
anyway	A2	1,2	8	act1-scene1-speech-0020	anyway	A2
apart	B1	1	1	act1-scene1-speech-0135	apart	B1
as	A2	1,2	37	act1-scene1-speech-0019	as	A1/A2
asylum	C1	1	1	act1-scene2-speech-0018	asylum	C1
avoid	A2	1	1	act1-scene2-speech-0092	avoid	A2
awful	A2	1,2	4	act1-scene1-speech-0044	awful	A2
back	A2/B2	1,2	13	act1-scene1-speech-0054	back	A1/A2/B2
bar	A2/B2	2	1	act1-scene2-speech-0206	bar	A2/B2
beef	A2	1	2	act1-scene1-speech-0152	beef	A2
before	A2	1,2	6	act1-scene1-speech-0110	before	A1/A2
beg	B2	1,2	5	act1-scene1-speech-0099	beg	B2
behave	A2	2	1	act1-scene2-speech-0248	behaving	A2
being	B2	1,2	4	act1-scene1-speech-0054	being	B2
best	A2	1	3	act1-scene1-speech-0158	best	A1/A2
bet	B2	1	1	act1-scene1-speech-0011	bet	B2
better	A2/B1	1,2	5	act1-scene1-speech-0121	better	A1/A2/B1
between	A2	1,2	2	act1-scene2-speech-0034	between	A1/A2
bit	A2	1,2	8	act1-scene2-speech-0034	bit	A2
block	B1	1	1	act1-scene1-speech-0121	blocked	B1
boil	A2	1	2	act1-scene1-speech-0074	boiler	A2
book	A2	2	3	act1-scene2-speech-0223	booked, books	A1/A2
bottom	A2	2	1	act2-speech-0014	bottom	A2
bound	B2	1	1	act1-scene1-speech-0001	bound	B2
brilliant	A2	1	1	act1-scene2-speech-0100	brilliant	A2
brush	A2	1,2	3	act1-scene2-speech-0099	brush	A2
but	B2	1,2	56	act1-scene1-speech-0011	but	A1/B2
by	B1	1,2	16	act1-scene1-speech-0054	by	A1/B1
can	A2	1,2	18	act1-scene1-speech-0122	can	A1/A2
care	A2	1,2	2	act1-scene1-speech-0040	care	A2
carefully	A2	1	1	act1-scene2-speech-0085	carefully	A2
carpet	A2	1	1	act1-scene2-speech-0027	carpet	A2
carve	C1	1	1	act1-scene1-speech-0048	carved	C1
central	B1	1	3	act1-scene1-speech-0013	central	B1
certain	A2	1,2	2	act1-scene1-speech-0001	certain	A2
chance	A2	2	1	act2-speech-0021	chance	A2
cheap	B1	1	1	act1-scene1-speech-0156	cheap	A1/B1
cheer	B2	1	1	act1-scene2-speech-0094	cheer	B2
clear	A2/B1	1	1	act1-scene1-speech-0085	cleared	A2/B1
clearly	A2	2	2	act2-speech-0005	clearly	A2
closed	A2	2	1	act2-speech-0025	closed	A2
comfort	B2	1	1	act1-scene1-speech-0118	comfort	B2
completely	A2	1	1	act1-scene2-speech-0077	completely	A2
consequence	B1	1	1	act1-scene1-speech-0184	consequence	B1
continue	A2	1	2	act1-scene1-speech-0001	continue	A2
cook	A2	1,2	8	act1-scene1-speech-0019	cook, cooking	A1/A2
correspondence	C1	1	1	act1-scene1-speech-0037	correspondence	C1
crazy	A2	2	2	act1-scene2-speech-0200	crazy	A2
cut	B1	1,2	8	act1-scene1-speech-0190	cut	A1/B1
daily	A2/B1	1	2	act1-scene1-speech-0017	daily	A2/B1
dark	A2	1,2	5	act1-scene1-speech-0001	dark	A1/A2
dead	A2	2	7	act1-scene2-speech-0164	dead	A2
deadly	B2	2	1	act1-scene2-speech-0226	deadly	B2
dear	A2	1,2	9	act1-scene1-speech-0012	dear, dears	A1/A2
deed	C1	1	1	act1-scene1-speech-0108	deed	C1
deep	A2/B1	2	1	act1-scene2-speech-0143	deep	A2/B1
delight	B2	1	1	act1-scene2-speech-0012	delight	B2
depend	A2	1,2	2	act1-scene2-speech-0042	depends	A2
depressed	B2	1	1	act1-scene1-speech-0170	depressed	B2
downstairs	A2	2	2	act1-scene2-speech-0136	downstairs	A1/A2
dry	A2	1	2	act1-scene1-speech-0093	dry	A2
duty	B1	2	1	act1-scene2-speech-0258	duty	B1
earth	A2	1,2	3	act1-scene1-speech-0158	earth	A2
easily	A2	1	1	act1-scene1-speech-0121	easily	A2
either	A2	1	3	act1-scene1-speech-0011	either	A2
ensure	B2	2	1	act1-scene2-speech-0195	ensure	B2
equip	B2	1	1	act1-scene1-speech-0118	equipped	B2
escape	B1	1	1	act1-scene2-speech-0018	escaped	B1
even	B2	1,2	8	act1-scene1-speech-0190	even, evening	A1/B2
everywhere	A2	1	1	act1-scene1-speech-0177	everywhere	A2
excellent	A2	1	3	act1-scene1-speech-0133	excellent	A2
except	A2/B1	2	3	act1-scene2-speech-0224	except	A2/B1
excuse	B2	2	2	act1-scene2-speech-0143	excuse	B2
expected	B1	1	3	act1-scene1-speech-0001	expected	B1
extremely	A2	1	1	act1-scene2-speech-0100	extremely	A2
fall	A2	1	2	act1-scene1-speech-0132	fall, falls	A1/A2
far	B1	2	4	act1-scene2-speech-0133	far	A1/B1
feel	B2	1,2	8	act1-scene1-speech-0001	feel, feeling, felt	A1/B2
file	B1/B2	2	1	act1-scene2-speech-0183	file	B1/B2
first	A2	1,2	8	act1-scene1-speech-0014	first	A1/A2
following	A2/B1/B2	2	1	act1-scene2-speech-0226	following	A2/B1/B2
force	B1	2	1	act1-scene2-speech-0149	force	B1
found	B2	2	3	act1-scene2-speech-0187	found	B2
fresh	A2	2	1	act1-scene2-speech-0254	fresh	A2
fully	B2	1	1	act1-scene1-speech-0118	fully	B2
general	A2	1	2	act1-scene1-speech-0046	general, general's	A2
go	B1	1,2	33	act1-scene1-speech-0010	go, gone, went	A1/B1
god	A2	1	1	act1-scene1-speech-0011	god	A2
good	A2	1,2	17	act1-scene1-speech-0011	good	A1/A2
goodness	B2	1	1	act1-scene1-speech-0016	goodness	B2
guest	A2	1,2	24	act1-scene1-speech-0021	guest, guests	A2
half	A2	1,2	5	act1-scene1-speech-0011	half	A1/A2
halfway	C1	1	1	act1-scene1-speech-0067	halfway	C1
have	A2	1,2	91	act1-scene1-speech-0009	had, have, having	A1/A2
head	B1	2	3	act1-scene2-speech-0211	head, head's	A1/B1
hearing	B2	2	1	act1-scene2-speech-0235	hearing	B2
heating	B1	1	3	act1-scene1-speech-0013	heating	B1
heavy	A2	1	3	act1-scene1-speech-0001	heavy	A2
herself	A2	1	1	act1-scene2-speech-0002	herself	A2
hide	A2	1	1	act1-scene1-speech-0039	hiding	A2
himself	A2	2	2	act1-scene2-speech-0113	himself	A2
his	A2	1,2	8	act1-scene1-speech-0162	his	A1/A2
hold	A2/B2	2	3	act1-scene2-speech-0254	held	A2/B2
hook	B2/C1	1	1	act1-scene1-speech-0016	hooked	B2/C1
