THE MOUSETRAP — A2+ ADDITION CANDIDATES — PART 2 / 292-582
Scope: global speeches 292-582 (291 speeches)
Policy: screening list, not official CEFR certification. Clear A1/basic items are excluded; uncertain content words are kept to minimize omissions.
Dictionary definitions are NOT created in this phase. Existing vocabulary/dictionary data are NOT modified.

PIPELINE
1. Extracted non-A1 candidate occurrences: 1156
2. After normalized/headword deduplication: 552
3. After removing already-implemented dictionary/vocabulary items: 267

FINAL ADDITION CANDIDATES
word	occurrences	firstSpeechId	surfaceForms
able	2	act1-scene2-speech-0183	able
abnormal	1	act1-scene2-speech-0248	abnormal
according	1	act1-scene2-speech-0211	according
actually	1	act1-scene2-speech-0253	actually
advance	1	act1-scene2-speech-0223	advance
affect	1	act1-scene2-speech-0293	affect
afraid	1	act1-scene2-speech-0136	afraid
ago	2	act1-scene2-speech-0165	ago
agree	1	act2-speech-0052	agree
ah	2	act1-scene2-speech-0170	ah
al	1	act1-scene2-speech-0313	al
allow	1	act1-scene2-speech-0135	allow
almost	1	act1-scene2-speech-0266	almost
alone	4	act1-scene2-speech-0172	alone
along	2	act2-speech-0003	along
alway	3	act1-scene2-speech-0129	always
anybody	2	act2-speech-0003	anybody
anyone	2	act1-scene2-speech-0193	anyone
anything	9	act1-scene2-speech-0141	anything
anyway	3	act1-scene2-speech-0195	anyway
arrived	4	act1-scene2-speech-0222	arrived
arriving	1	act2-speech-0024	arriving
away	2	act1-scene2-speech-0110	away
awful	1	act1-scene2-speech-0137	awful
bar	1	act1-scene2-speech-0206	bar
beforehand	1	act1-scene2-speech-0317	beforehand
beg	2	act1-scene2-speech-0174	beg
behaving	1	act1-scene2-speech-0248	behaving
behind	2	act1-scene2-speech-0241	behind
believe	4	act1-scene2-speech-0153	believe
beware	1	act1-scene2-speech-0114	beware
bit	4	act1-scene2-speech-0187	bit
bona	1	act1-scene2-speech-0110	bona
book	1	act1-scene2-speech-0311	books
booked	2	act1-scene2-speech-0223	booked
bottom	1	act2-speech-0014	bottom
bournemouth	1	act1-scene2-speech-0309	bournemouth
bravo	2	act1-scene2-speech-0126	bravo
brush	2	act2-speech-0035	brush
built	1	act1-scene2-speech-0103	built
bullying	1	act2-speech-0013	bullying
call	1	act1-scene2-speech-0113	calls
called	1	act1-scene2-speech-0104	called
care	1	act1-scene2-speech-0187	care
catchy	1	act2-speech-0052	catchy
certain	1	act2-speech-0022	certain
chance	1	act2-speech-0021	chance
civilly	1	act1-scene2-speech-0256	civilly
clearly	2	act2-speech-0005	clearly
complete	1	act1-scene2-speech-0298	completes
cook	3	act1-scene2-speech-0127	cook, cooking
crazy	2	act1-scene2-speech-0200	crazy
cut	7	act1-scene2-speech-0167	cut
dangerous	1	act1-scene2-speech-0201	dangerous
dark	3	act1-scene2-speech-0266	dark
dead	7	act1-scene2-speech-0164	dead
deadly	1	act1-scene2-speech-0226	deadly
dear	6	act1-scene2-speech-0103	dear, dears
deep	1	act1-scene2-speech-0143	deep
deliciously	1	act1-scene2-speech-0244	deliciously
depend	1	act1-scene2-speech-0291	depends
died	3	act1-scene2-speech-0187	died
different	2	act1-scene2-speech-0177	different
dining	1	act2-speech-0007	dining
disgusting	1	act1-scene2-speech-0263	disgusting
downstair	2	act1-scene2-speech-0136	downstairs
duty	1	act1-scene2-speech-0258	duty
earlier	1	act1-scene2-speech-0302	earlier
earth	1	act1-scene2-speech-0229	earth
edinburgh	1	act1-scene2-speech-0233	edinburgh
eleven	1	act1-scene2-speech-0209	eleven
else	4	act1-scene2-speech-0122	else
enchanting	1	act1-scene2-speech-0128	enchanting
enjoy	2	act1-scene2-speech-0149	enjoy, enjoying
ensure	1	act1-scene2-speech-0195	ensure
er	3	act1-scene2-speech-0136	er
ever	2	act1-scene2-speech-0116	ever
everybody	1	act1-scene2-speech-0173	everybody
everyone	2	act1-scene2-speech-0195	everyone
everything	2	act1-scene2-speech-0121	everything
example	1	act1-scene2-speech-0130	example
except	3	act1-scene2-speech-0224	except
excuse	2	act1-scene2-speech-0143	excuse
fact	3	act1-scene2-speech-0243	fact, facts
fantastic	2	act1-scene2-speech-0321	fantastic
far	4	act1-scene2-speech-0133	far
fetched	1	act1-scene2-speech-0203	fetched
fide	1	act1-scene2-speech-0110	fide
fifteenth	1	act1-scene2-speech-0179	fifteenth
file	1	act1-scene2-speech-0183	file
fishy	1	act1-scene2-speech-0105	fishy
force	1	act1-scene2-speech-0149	force
fresh	1	act1-scene2-speech-0254	fresh
front	2	act1-scene2-speech-0147	front
funny	1	act1-scene2-speech-0167	funny
goe	3	act1-scene2-speech-0133	goes
going	2	act1-scene2-speech-0196	going
grow	1	act1-scene2-speech-0249	grow
guest	5	act1-scene2-speech-0106	guest, guests
ha	2	act1-scene2-speech-0114	ha
half	2	act1-scene2-speech-0141	half
hampstead	1	act1-scene2-speech-0311	hampstead
happen	4	act1-scene2-speech-0210	happen, happened
he'd	2	act1-scene2-speech-0104	he'd
he'll	2	act1-scene2-speech-0140	he'll
healthy	1	act1-scene2-speech-0254	healthy
heard	11	act1-scene2-speech-0103	heard
held	3	act1-scene2-speech-0254	held
himself	2	act1-scene2-speech-0113	himself
hist	1	act1-scene2-speech-0170	hist
hogben	4	act1-scene2-speech-0193	hogben
hope	2	act1-scene2-speech-0104	hope, hoped
horrid	1	act1-scene2-speech-0268	horrid
human	1	act1-scene2-speech-0334	human
humph	1	act1-scene2-speech-0105	humph
idea	2	act1-scene2-speech-0197	idea
identify	1	act1-scene2-speech-0183	identify
ill	2	act1-scene2-speech-0187	ill
imagine	1	act1-scene2-speech-0334	imagine
it'll	1	act1-scene2-speech-0173	it'll
joke	4	act1-scene2-speech-0170	joke
justice	1	act1-scene2-speech-0130	justice
kensington	1	act1-scene2-speech-0311	kensington
kill	6	act1-scene2-speech-0196	kill, killed
lady	4	act1-scene2-speech-0114	ladies, lady
land	1	act1-scene2-speech-0296	land
last	3	act1-scene2-speech-0261	last
late	1	act1-scene2-speech-0334	late
leamington	1	act1-scene2-speech-0310	leamington
leslie	1	act1-scene2-speech-0231	leslie
life	2	act1-scene2-speech-0254	life
listening	1	act1-scene2-speech-0335	listening
loud	1	act2-speech-0004	loud
lucky	1	act1-scene2-speech-0271	lucky
madam	5	act1-scene2-speech-0157	madam
manor	2	act1-scene2-speech-0191	manor
mayn't	1	act1-scene2-speech-0183	mayn't
mean	6	act1-scene2-speech-0123	mean
meant	1	act1-scene2-speech-0104	meant
mechanic	1	act1-scene2-speech-0334	mechanics
meet	2	act1-scene2-speech-0147	meet
mind	4	act1-scene2-speech-0220	mind
music	2	act1-scene2-speech-0206	music
myself	2	act1-scene2-speech-0130	myself
natural	1	act2-speech-0033	natural
near	1	act1-scene2-speech-0191	near
nearer	1	act2-speech-0043	nearer
nearly	1	act1-scene2-speech-0104	nearly
neglect	1	act1-scene2-speech-0187	neglect
never	5	act1-scene2-speech-0182	never
nobody	3	act1-scene2-speech-0116	nobody
noise	1	act1-scene2-speech-0336	noise
nothing	11	act1-scene2-speech-0130	nothing
numbed	1	act2-speech-0002	numbed
nursery	1	act1-scene2-speech-0206	nursery
oh	9	act1-scene2-speech-0131	oh
once	1	act2-speech-0024	once
out	19	act1-scene2-speech-0104	out
own	1	act1-scene2-speech-0170	own
para	1	act1-scene2-speech-0227	para
pari	1	act1-scene2-speech-0226	pari
passed	1	act1-scene2-speech-0152	passed
past	1	act1-scene2-speech-0293	past
paul	1	act1-scene2-speech-0103	paul
pay	2	act1-scene2-speech-0106	pay, paying
