THE MOUSETRAP — A2+ ADDITION CANDIDATES — PART 3 / 583-873
Scope: global speeches 583-873 (291 speeches)
CEFR source: Oxford 3000 and 5000 (4941 parsed headwords)
Dictionary definitions are NOT created in this phase. Production vocabulary/dictionary files are NOT modified.

PIPELINE — OXFORD A2+
1. Extracted A2+ candidate occurrences: 1058
2. After headword deduplication: 315
3. Already-implemented dictionary headwords removed: 149
4. Final Oxford A2+ addition candidates: 166

FINAL OXFORD A2+ ADDITION CANDIDATES
word	cefr	occurrences	firstSpeechId	surfaceForms	allOxfordLevels
able	A2	1	act2-speech-0276	able	A2
actually	A2	1	act2-speech-0111	actually	A2
after	A2	10	act2-speech-0060	after	A1/A2
against	A2	4	act2-speech-0096	against	A2
age	B1	4	act2-speech-0095	age	A1/B1
aged	B1	2	act2-speech-0132	aged	B1
alive	A2	1	act2-speech-0123	alive	A2
all	A2	41	act2-speech-0082	all	A1/A2
almost	A2	2	act2-speech-0216	almost	A2
alone	A2	2	act2-speech-0092	alone	A2
already	A2	1	act2-speech-0253	already	A2
any	A2	10	act2-speech-0073	any	A1/A2
anybody	A2	1	act2-speech-0243	anybody	A2
anyway	A2	2	act2-speech-0222	anyway	A2
anywhere	A2	1	act2-speech-0186	anywhere	A2
arrest	B1	3	act2-speech-0100	arrest, arresting	B1
as	A2	13	act2-speech-0092	as	A1/A2
awful	A2	1	act2-speech-0217	awful	A2
back	A2/B2	3	act2-speech-0171	back	A1/A2/B2
before	A2	5	act2-speech-0077	before	A1/A2
beg	B2	1	act2-speech-0058	beg	B2
being	B2	4	act2-speech-0128	being	B2
between	A2	4	act2-speech-0221	between	A1/A2
bill	B2	4	act2-speech-0095	bill	A1/B2
bit	A2	2	act2-speech-0128	bit	A2
broken	A2	1	act2-speech-0165	broken	A2
but	B2	25	act2-speech-0086	but	A1/B2
by	B1	11	act2-speech-0092	by	A1/B1
can	A2	8	act2-speech-0103	can	A1/A2
care	A2	1	act2-speech-0206	care	A2
careful	A2	1	act2-speech-0086	careful	A2
chance	A2	2	act2-speech-0318	chance	A2
cook	A2	1	act2-speech-0272	cooked	A1/A2
crazy	A2	7	act2-speech-0102	crazy	A2
cut	B1	3	act2-speech-0111	cut	A1/B1
dead	A2	4	act2-speech-0128	dead	A2
dear	A2	3	act2-speech-0075	dear, dearest	A1/A2
driving	A2/C1	1	act2-speech-0239	driving	A2/C1
drop	A2/B1	2	act2-speech-0138	drop, dropped	A2/B1
earth	A2	1	act2-speech-0281	earth	A2
either	A2	1	act2-speech-0347	either	A2
especially	A2	1	act2-speech-0165	especially	A2
even	B2	6	act2-speech-0112	even, evening	A1/B2
exactly	A2	1	act2-speech-0168	exactly	A2
fair	A2	1	act2-speech-0102	fair	A2
far	B1	2	act2-speech-0111	far	A1/B1
feel	B2	5	act2-speech-0145	feel, felt	A1/B2
finish	A2	1	act2-speech-0165	finished	A1/A2
first	A2	2	act2-speech-0272	first	A1/A2
force	B1	1	act2-speech-0165	force	B1
found	B2	2	act2-speech-0113	found	B2
fun	A2	1	act2-speech-0309	fun	A1/A2
go	B1	34	act2-speech-0059	go, gone, went	A1/B1
good	A2	2	act2-speech-0242	good	A1/A2
goodness	B2	1	act2-speech-0332	goodness	B2
hate	B1	4	act2-speech-0204	hate, hated	A1/B1
have	A2	22	act2-speech-0092	had, have, having	A1/A2
head	B1	2	act2-speech-0128	head	A1/B1
hide	A2	2	act2-speech-0186	hide	A2
his	A2	11	act2-speech-0128	his	A1/A2
hold	A2/B2	1	act2-speech-0292	hold	A2/B2
hook	B2/C1	1	act2-speech-0330	hooked	B2/C1
hope	A2	1	act2-speech-0311	hope	A1/A2
house	B2	2	act2-speech-0186	house	A1/B2
ill	A2	1	act2-speech-0111	ill	A2
inside	A2	3	act2-speech-0080	inside	A2
instead	A2	1	act2-speech-0218	instead	A2
it	B1	90	act2-speech-0060	it, it's	A1/B1
kill	A2	8	act2-speech-0095	killed, killer	A2
killing	B1	1	act2-speech-0083	killing	B1
later	A2	1	act2-speech-0087	later	A1/A2
lead	A2/B1	1	act2-speech-0092	leads	A2/B1
least	A2	1	act2-speech-0227	least	A2
leave	B2	2	act2-speech-0258	leave, left	A1/B2
like	B1	7	act2-speech-0058	like	A1/B1
line	B2	1	act2-speech-0113	line	A1/B2
link	A2	1	act2-speech-0111	links	A2
little	A2	4	act2-speech-0173	little	A1/A2
loud	A2	1	act2-speech-0060	loud	A2
make	B2	4	act2-speech-0160	made, make	A1/B2
making	B2	1	act2-speech-0057	making	B2
marry	A2	6	act2-speech-0153	married, marries, marry	A2
may	A2	6	act2-speech-0112	may	A1/A2
middle	A2	3	act2-speech-0132	middle	A2
might	A2	8	act2-speech-0128	might	A2
mind	A2	4	act2-speech-0143	mind	A2
mine	A2/B1	1	act2-speech-0086	mine	A2/B1
minute	C1	3	act2-speech-0103	minute	A1/C1
myself	A2	3	act2-speech-0202	myself	A2
need	A2/B1	1	act2-speech-0324	need	A1/A2/B1
net	B1/C1	1	act2-speech-0170	netting	B1/C1
next	B1	1	act2-speech-0251	next	A1/B1
none	A2	1	act2-speech-0076	none	A2
normal	A2/B1	1	act2-speech-0134	normal	A2/B1
now	B1	13	act2-speech-0079	now	A1/B1
once	B1	3	act2-speech-0067	once	A1/B1
outside	A2	2	act2-speech-0113	outside	A1/A2
own	A2	2	act2-speech-0163	own	A1/A2
particular	A2	1	act2-speech-0083	particular	A2
perhaps	A2	13	act2-speech-0077	perhaps	A2
