# The Mousetrap - vocabulary expansion candidates
# Generated from 1164 canonical speech lines
# Existing dictionary entries and vocabulary already listed for each speech were excluded
# Candidates: 1000 (single words: 456, phrases: 544)
# LINE = global speech line (1-based); SPEECH_ID = canonical script ID; OCCURRENCES = normalized count
# Candidate list only: verify context and part of speech before dictionary integration.

NO	LINE	SPEECH_ID	TYPE	LEMMA	SURFACE	OCCURRENCES
1	1	act1-scene1-speech-0001	WORD	accord	according, According	3
2	1	act1-scene1-speech-0001	WORD	bind	bound	2
3	1	act1-scene1-speech-0001	PHRASE-2	bind road	bound roads	1
4	1	act1-scene1-speech-0001	PHRASE-2	certain freezing	certain freezing	1
5	1	act1-scene1-speech-0001	WORD	country	country	9
6	1	act1-scene1-speech-0001	PHRASE-3	crime take place	crime took place	2
7	1	act1-scene1-speech-0001	WORD	dark	dark	5
8	1	act1-scene1-speech-0001	PHRASE-2	dark overcoat	dark overcoat	2
9	1	act1-scene1-speech-0001	PHRASE-3	dark overcoat light	dark overcoat light	1
10	1	act1-scene1-speech-0001	PHRASE-2	heavy snow	heavy snow	2
11	1	act1-scene1-speech-0001	PHRASE-3	ice bind road	ice bound roads	1
12	1	act1-scene1-speech-0001	WORD	interview	interview	4
13	1	act1-scene1-speech-0001	PHRASE-3	interview a man	interview a man	3
14	1	act1-scene1-speech-0001	PHRASE-2	light scarf	light scarf	2
15	1	act1-scene1-speech-0001	WORD	man	man, men	20
16	1	act1-scene1-speech-0001	PHRASE-2	murder woman	murdered woman	2
17	1	act1-scene1-speech-0001	WORD	north	north, North	3
18	1	act1-scene1-speech-0001	WORD	northeast	northeast	1
19	1	act1-scene1-speech-0001	PHRASE-2	northeast coast	northeast coast	1
20	1	act1-scene1-speech-0001	PHRASE-2	overcoat light	overcoat light	1
21	1	act1-scene1-speech-0001	PHRASE-3	place at twenty	place at twenty	2
22	1	act1-scene1-speech-0001	WORD	police	police	26
23	1	act1-scene1-speech-0001	WORD	snow	snow, snowed	26
24	1	act1-scene1-speech-0001	WORD	twenty	twenty	10
25	1	act1-scene1-speech-0001	WORD	vicinity	vicinity	3
26	1	act1-scene1-speech-0001	WORD	warn	warned	3
27	1	act1-scene1-speech-0001	PHRASE-3	warn against ice	warned against ice	1
28	1	act1-scene1-speech-0001	WORD	wear	wearing, wear	7
29	1	act1-scene1-speech-0001	WORD	woman	woman, women	25
30	2	act1-scene1-speech-0002	WORD	cold	cold	7
31	2	act1-scene1-speech-0002	WORD	nice	nice	9
32	4	act1-scene1-speech-0004	WORD	work	work, worked	2
33	5	act1-scene1-speech-0005	WORD	leave	leave, left, Left, Leave	16
34	7	act1-scene1-speech-0007	WORD	nose	nose	1
35	7	act1-scene1-speech-0007	WORD	sweetheart	sweetheart	1
36	8	act1-scene1-speech-0008	WORD	come	come, coming, comes, Come	79
37	9	act1-scene1-speech-0009	WORD	weather	weather	8
