token	count	speechIds
inconveniently	1	act2-speech-0391
unfortunately	1	act2-speech-0558
inconvenient	1	act2-speech-0506
deliciously	1	act1-scene2-speech-0244
fortunately	1	act2-speech-0618
immediately	1	act1-scene1-speech-0177
possibility	1	act2-speech-0127
suggestions	1	act2-speech-0137
unfortunate	1	act1-scene1-speech-0112
unhappiness	1	act2-speech-0484
arrivederl	1	act2-speech-0375
beforehand	1	act1-scene2-speech-0317
completely	1	act1-scene2-speech-0077
delightful	1	act1-scene1-speech-0044
directions	1	act2-speech-0024
disgusting	1	act1-scene2-speech-0263
enchanting	1	act1-scene2-speech-0128
especially	1	act2-speech-0165
everywhere	1	act1-scene1-speech-0177
interested	1	act2-speech-0363
leamington	1	act1-scene2-speech-0310
particular	1	act2-speech-0083
staircases	1	act2-speech-0092
suggesting	1	act1-scene2-speech-0196
sweetheart	1	act1-scene1-speech-0007
unpleasant	1	act1-scene1-speech-0167
advertisement	2	act1-scene1-speech-0110,act1-scene2-speech-0011
possibilities	2	act2-speech-0118,act2-speech-0143
downstairs	2	act1-scene2-speech-0136,act2-speech-0011
experience	2	act1-scene1-speech-0091,act2-speech-0128
throughout	3	act1-scene1-speech-0001,act1-scene1-speech-0042,act1-scene1-speech-0139
understood	2	act1-scene1-speech-0108,act2-speech-0555
unfinished	2	act2-speech-0073,act2-speech-0077
vegetables	2	act1-scene2-speech-0327,act2-speech-0022
arresting	1	act2-speech-0101
brilliant	1	act1-scene2-speech-0100
cigarette	1	act1-scene1-speech-0064
completes	1	act1-scene2-speech-0298
delicious	1	act2-speech-0379
depressed	1	act1-scene1-speech-0170
extremely	1	act1-scene2-speech-0100
fifteenth	1	act1-scene2-speech-0179
happening	1	act2-speech-0516
introduce	1	act1-scene1-speech-0115
knowledge	1	act1-scene2-speech-0233
movements	1	act2-speech-0526
northeast	1	act1-scene1-speech-0001
overdoing	1	act2-speech-0407
preparing	1	act2-speech-0022
receiving	1	act1-scene2-speech-0193
satisfied	1	act1-scene1-speech-0119
shivering	1	act1-scene2-speech-0072
situation	1	act2-speech-0324
suggested	1	act2-speech-0272
anywhere	1	act2-speech-0186
arriving	1	act2-speech-0024
baptized	1	act1-scene1-speech-0067
behaving	1	act1-scene2-speech-0248
believed	1	act1-scene1-speech-0118
bullying	1	act2-speech-0013
discover	1	act2-speech-0519
dragging	1	act2-speech-0503
exciting	1	act2-speech-0512
families	1	act2-speech-0165
handsome	1	act1-scene1-speech-0054
helpless	1	act2-speech-0142
identify	1	act1-scene2-speech-0183
interest	1	act1-scene2-speech-0036
jeunesse	1	act2-speech-0313
messages	1	act1-scene1-speech-0139
painters	1	act1-scene1-speech-0065
planning	1	act2-speech-0370
pleasure	1	act1-scene1-speech-0125
portrait	1	act1-scene1-speech-0065
problems	1	act1-scene2-speech-0041
produced	1	act1-scene2-speech-0334
promised	1	act1-scene2-speech-0006
realized	1	act2-speech-0575
securely	1	act1-scene1-speech-0184
shouting	1	act2-speech-0060
shutting	1	act1-scene2-speech-0295
thousand	1	act2-speech-0620
unstable	1	act2-speech-0126
watching	1	act2-speech-0591
worrying	1	act2-speech-0257
youngest	1	act1-scene2-speech-0209
information	4	act1-scene2-speech-0193,act2-speech-0014,act2-speech-0125
interesting	5	act1-scene1-speech-0063,act2-speech-0078,act2-speech-0330
everyone's	1	act2-speech-0096
understand	5	act1-scene1-speech-0118,act1-scene2-speech-0177,act1-scene2-speech-0334
beautiful	2	act1-scene1-speech-0069,act1-scene1-speech-0117
beginning	3	act1-scene1-speech-0092,act1-scene2-speech-0002,act2-speech-0143
breakfast	2	act1-scene2-speech-0002,act2-speech-0495
carefully	2	act1-scene2-speech-0085,act2-speech-0620
dangerous	2	act1-scene2-speech-0201,act2-speech-0267
excellent	3	act1-scene1-speech-0133,act1-scene2-speech-0002,act1-scene2-speech-0004
fantastic	2	act1-scene2-speech-0321,act1-scene2-speech-0322
important	3	act1-scene1-speech-0014,act1-scene1-speech-0118,act2-speech-0507
listening	2	act1-scene2-speech-0335,act2-speech-0372
motorists	3	act1-scene1-speech-0001,act1-scene1-speech-0042,act1-scene1-speech-0132
performed	2	act2-speech-0548,act2-speech-0556
supposing	2	act2-speech-0367,act2-speech-0523
whistling	3	act2-speech-0054,act2-speech-0055,act2-speech-0057
wonderful	3	act1-scene1-speech-0041,act1-scene1-speech-0123,act1-scene2-speech-0204
abnormal	2	act1-scene2-speech-0248,act2-speech-0095
accident	2	act1-scene2-speech-0226,act2-speech-0392
answered	2	act2-speech-0456,act2-speech-0581
chickens	2	act2-speech-0170,act2-speech-0373
continue	2	act1-scene1-speech-0001,act1-scene1-speech-0042
enjoying	3	act2-speech-0372,act2-speech-0420,act2-speech-0515
finished	2	act2-speech-0165,act2-speech-0451
happened	3	act1-scene2-speech-0210,act1-scene2-speech-0278,act2-speech-0390
husbands	2	act1-scene1-speech-0071,act2-speech-0401
monkwell	2	act1-scene1-speech-0024,act1-scene1-speech-0025
potatoes	3	act1-scene1-speech-0152,act2-speech-0245,act2-speech-0383
suddenly	2	act2-speech-0060,act2-speech-0243
together	2	act1-scene1-speech-0157,act2-speech-0373
tomorrow	2	act1-scene1-speech-0011,act1-scene1-speech-0190
training	2	act2-speech-0165,act2-speech-0199
