kind	word	levels	forms	occurrences
SAFE	absolutely	adverb:b1	absolutely	act2-speech-0277 | MOLLIE | absolutely | You're being absolutely ridiculous. I never set eyes on Christopher Wren until he arrived yesterday.
SAFE	admit	verb:b1	admit	act2-speech-0288 | GILES | admit | Come on now ― admit it. You went to London.
SAFE	annoy	verb:b1	annoyed	act2-speech-0315 | PARAVICINI | annoyed | No, no, no business at all. But I just came in to say that the Sergeant cannot find his skis and I'm afraid he is very annoyed.
SAFE	annoyed	adjective:b1	annoyed	act2-speech-0315 | PARAVICINI | annoyed | No, no, no business at all. But I just came in to say that the Sergeant cannot find his skis and I'm afraid he is very annoyed.
SAFE	attract	verb:b1	attract	act2-speech-0276 | GILES | attract | I read once in a paper that these homicidal cases were able to attract women. Looks as though it were true. Where did you first know him? How long has this been going on?
SAFE	blind	adjective:b2	blind	act2-speech-0256 | CHRISTOPHER | blind | How blind are you ― or do you just pretend to be blind? || act2-speech-0372 | TROTTER | blind | Yes, Miss Casewell. I do. Three blind mice. Two mice cancelled out ― a third mouse still to be dealt with. There are six of you here listening to me. One of you's a killer! One of you's a killer. I don't know which yet, but I shall. And another of you is the killer's prospective victim. That's the person I'm speaking to. Mrs. Boyle held out on me ― Mrs. Boyle is dead. You ― whoever you are ― are holding out on me. Well ― don't. Because you're in danger. Nobody who's killed twice is going to hesitate to kill a third time. And as it is, I don't know which of you it is who needs protection. Come on, now, anybody here who has anything, however slight, to reproach themselves for in that bygone business, had better come out with it. All right ― you won't. I'll get the killer ― I've no doubt of that ― but it may be too late for one of you. And I'll tell you another thing. The killer's enjoying this. Yes, he's enjoying himself a good deal... All right ― you can go.
SAFE	carve	verb:c1	carving	act2-speech-0379 | PARAVICINI | carving | But such a gay little tune? Don't you think? She cut off their tails with a carving knife ― snick, snick, snick ― delicious. Just what a child would adore. Cruel little things, children. Some of them never grow up.
SAFE	charm	noun:c1	charming	act2-speech-0373 | PARAVICINI | charming | Talking of chicken, dear lady, have you ever tried chickens' livers served on toast that has been thickly smeared with foie gras, with a very thin rasher of bacon just touched with a soupçon of fresh mustard? I will come with you to the kitchen and we will see what we can concoct together. A charming occupation.
SAFE	charming	adjective:b2	charming	act2-speech-0373 | PARAVICINI | charming | Talking of chicken, dear lady, have you ever tried chickens' livers served on toast that has been thickly smeared with foie gras, with a very thin rasher of bacon just touched with a soupçon of fresh mustard? I will come with you to the kitchen and we will see what we can concoct together. A charming occupation.
SAFE	communication	noun:b1	communication	act2-speech-0338 | TROTTER | communication | Now, listen, you people. This is a serious matter. Somebody has removed my only chance of communication with the outside world. I want everybody here ― at once.
SAFE	countryside	noun:b1	countryside	act2-speech-0239 | MOLLIE | countryside | Then why shouldn't he tell me he did? Why pretend he'd been driving all round the countryside? || act2-speech-0286 | GILES | countryside | Whilst I was safely away racing round the countryside.
SAFE	cruel	adjective:b1	cruel	act2-speech-0379 | PARAVICINI | cruel | But such a gay little tune? Don't you think? She cut off their tails with a carving knife ― snick, snick, snick ― delicious. Just what a child would adore. Cruel little things, children. Some of them never grow up.
SAFE	dare	verb:b2	dare	act2-speech-0273 | MOLLIE | dare | Giles, have you gone out of your mind? How dare you suggest these things?
SAFE	doubt	noun:b1,verb:b1	doubt	act2-speech-0243 | MOLLIE | doubt | I don't know what the Sergeant thinks. And he can make you think things about people. You ask yourself questions and you begin to doubt. You feel that somebody you love and know well might be ― a stranger. That's what happens in a nightmare. You're somewhere in the middle of friends and then you suddenly look at their faces and they're not your friends any longer ― they're different people ― just pretending. Perhaps you can't trust anybody ― perhaps everybody's a stranger. || act2-speech-0372 | TROTTER | doubt | Yes, Miss Casewell. I do. Three blind mice. Two mice cancelled out ― a third mouse still to be dealt with. There are six of you here listening to me. One of you's a killer! One of you's a killer. I don't know which yet, but I shall. And another of you is the killer's prospective victim. That's the person I'm speaking to. Mrs. Boyle held out on me ― Mrs. Boyle is dead. You ― whoever you are ― are holding out on me. Well ― don't. Because you're in danger. Nobody who's killed twice is going to hesitate to kill a third time. And as it is, I don't know which of you it is who needs protection. Come on, now, anybody here who has anything, however slight, to reproach themselves for in that bygone business, had better come out with it. All right ― you won't. I'll get the killer ― I've no doubt of that ― but it may be too late for one of you. And I'll tell you another thing. The killer's enjoying this. Yes, he's enjoying himself a good deal... All right ― you can go.
SAFE	fellow	adjective:b2	fellow	act2-speech-0363 | MAJOR METCALF | fellow | No good shouting at me, young fellow. I wasn't thinking about any damned skis. I was interested in the cellars. Architecture of this place is very interesting. I opened the other door and I went on down. So I can't tell you whether the skis were there or not.
SAFE	fool	noun:b2	fool	act2-speech-0303 | MOLLIE | fool | Don't be a fool. Of course I didn't.
SAFE	found	verb:b2	found	act2-speech-0381 | MOLLIE | found | It's silly of me. But you see ― I found her. Her face was all purple. I can't forget it...
SAFE	frighten	verb:b1	frightening	act2-speech-0380 | GILES | frightening | Stop frightening my wife at once.
SAFE	frightening	adjective:b1	frightening	act2-speech-0380 | GILES | frightening | Stop frightening my wife at once.
SAFE	glove	noun:b1	gloves	act2-speech-0282 | GILES | gloves | Is it? Then what's this? This is one of the gloves you were wearing yesterday. You dropped it. I picked it up this afternoon when I was talking to Sergeant Trotter. You see what's inside it ― a London bus ticket!
SAFE	goodness	noun:b2	goodness	act2-speech-0332 | MOLLIE | goodness | Oh, thank goodness. You haven't gone, after all.
SAFE	grand	adjective:b2	grand	act2-speech-0423 | PARAVICINI | grand | Thank you so much. I shall go and look for your skis in the drawing room. Just in case someone has hidden them in the grand piano.
SAFE	guilty	adjective:b1	guilty	act2-speech-0225 | MOLLIE | guilty | That would be frightfully stupid. It would be almost like admitting you're guilty. || act2-speech-0226 | CHRISTOPHER | guilty | Sergeant Trotter thinks I'm guilty.
SAFE	hell	noun:b2	hell	act2-speech-0202 | CHRISTOPHER | hell | Call myself Christopher Wren? It just amused me. And then they used to laugh at me at school and call me little Christopher Robin. Robin ― Wren ― association of ideas. It was hell being at school. || act2-speech-0259 | GILES | hell | What the hell...? || act2-speech-0310 | GILES | hell | What the hell are you...?
SAFE	hesitate	verb:b2	hesitate	act2-speech-0372 | TROTTER | hesitate | Yes, Miss Casewell. I do. Three blind mice. Two mice cancelled out ― a third mouse still to be dealt with. There are six of you here listening to me. One of you's a killer! One of you's a killer. I don't know which yet, but I shall. And another of you is the killer's prospective victim. That's the person I'm speaking to. Mrs. Boyle held out on me ― Mrs. Boyle is dead. You ― whoever you are ― are holding out on me. Well ― don't. Because you're in danger. Nobody who's killed twice is going to hesitate to kill a third time. And as it is, I don't know which of you it is who needs protection. Come on, now, anybody here who has anything, however slight, to reproach themselves for in that bygone business, had better come out with it. All right ― you won't. I'll get the killer ― I've no doubt of that ― but it may be too late for one of you. And I'll tell you another thing. The killer's enjoying this. Yes, he's enjoying himself a good deal... All right ― you can go.
SAFE	hidden	adjective:b2	hidden	act2-speech-0423 | PARAVICINI | hidden | Thank you so much. I shall go and look for your skis in the drawing room. Just in case someone has hidden them in the grand piano.
SAFE	horrible	adjective:b1	horrible	act2-speech-0217 | MOLLIE | horrible | Perhaps that's why it was so ― awful. It was horrible ― horrible...I try to put it out of my mind. I try never to think about it.
SAFE	humour	noun:b2	humour	act2-speech-0421 | PARAVICINI | humour | Not even this murder? Dear me, you're very serious, Sergeant Trotter. I always have thought policemen have no sense of humour. Is the inquisition over ― for the moment?
SAFE	indeed	adverb:b1	indeed	act2-speech-0389 | PARAVICINI | indeed | Indeed?
SAFE	interrupt	verb:b2	interrupting	act2-speech-0244 | GILES | interrupting | I seem to be interrupting something.
SAFE	liver	noun:c1	livers	act2-speech-0373 | PARAVICINI | livers | Talking of chicken, dear lady, have you ever tried chickens' livers served on toast that has been thickly smeared with foie gras, with a very thin rasher of bacon just touched with a soupçon of fresh mustard? I will come with you to the kitchen and we will see what we can concoct together. A charming occupation.
SAFE	loose	adjective:b2	loose	act2-speech-0253 | GILES | loose | I've already said so, haven't I? There's a killer loose in this house ― and it seems to me you fit the bill.
SAFE	mix	noun:b1,verb:b1	mixed	act2-speech-0420 | TROTTER | mixed | Enjoying this little game, aren't you? Sure of yourself, too. But I shouldn't be too sure. You're mixed up in a murder case, and don't you forget it. Murder isn't just fun and games.
SAFE	neighbourhood	noun:b1	neighbourhood	act2-speech-0394 | TROTTER | neighbourhood | In this neighbourhood?
SAFE	odd	adjective:b1	odd,odder	act2-speech-0220 | CHRISTOPHER | odd | Yes, it's odd, isn't it? || act2-speech-0274 | GILES | odd | Rather odd, isn't it, that he should come and stay at an out-of-the-way place like this? || act2-speech-0275 | MOLLIE | odder | No odder than that Miss Casewell and Major Metcalf and Mrs. Boyle should.
SAFE	overturn	verb:c1	overturn	act2-speech-0390 | TROTTER | overturn | I've been wondering about that car of yours, and how it happened to overturn in a snowdrift so conveniently.
SAFE	perfectly	adverb:b1	perfectly	act2-speech-0264 | GILES | perfectly | What is all this? Mollie, you must be crazy. Perfectly prepared to shut yourself up in the kitchen with a homicidal maniac. || act2-speech-0279 | MOLLIE | perfectly | You know perfectly well that I haven't been up to London for weeks.
SAFE	planning	noun:b1	planning	act2-speech-0370 | TROTTER | planning | I'm in the position now where I've got to put myself in the place of a crazy cunning brain. I've got to ask myself what he wants us to do and what he, himself, is planning to do next. I've got to try and keep just one step ahead of him. Because if I don't, there's going to be another death.
SAFE	poet	noun:b1	poet	act2-speech-0313 | PARAVICINI | poet | Quite so. Quite so. I know just how you feel. I have been through all this myself when I was a younger man. Jeunesse ― jeunesse ― as the poet says. Not been married long, I imagine?
SAFE	possibly	adverb:b1	possibly	act2-speech-0229 | MOLLIE | possibly | Sergeant Trotter. He puts things into your head. Things that aren't true, that can't possibly be true.
SAFE	prepared	adjective:b1	prepared	act2-speech-0264 | GILES | prepared | What is all this? Mollie, you must be crazy. Perfectly prepared to shut yourself up in the kitchen with a homicidal maniac.
SAFE	pretend	verb:b1	pretend,pretending	act2-speech-0239 | MOLLIE | pretend | Then why shouldn't he tell me he did? Why pretend he'd been driving all round the countryside? || act2-speech-0243 | MOLLIE | pretending | I don't know what the Sergeant thinks. And he can make you think things about people. You ask yourself questions and you begin to doubt. You feel that somebody you love and know well might be ― a stranger. That's what happens in a nightmare. You're somewhere in the middle of friends and then you suddenly look at their faces and they're not your friends any longer ― they're different people ― just pretending. Perhaps you can't trust anybody ― perhaps everybody's a stranger. || act2-speech-0256 | CHRISTOPHER | pretend | How blind are you ― or do you just pretend to be blind? || act2-speech-0272 | GILES | pretend | Perhaps you'd met him before. Perhaps you suggested to him to come here and that you'd both pretend to meet for the first time. All cooked up between you, was it?
SAFE	racing	noun:b1	racing	act2-speech-0286 | GILES | racing | Whilst I was safely away racing round the countryside. || act2-speech-0287 | MOLLIE | racing | Whilst you were racing round the country-side...
SAFE	ridiculous	adjective:b2	ridiculous	act2-speech-0277 | MOLLIE | ridiculous | You're being absolutely ridiculous. I never set eyes on Christopher Wren until he arrived yesterday.
SAFE	safety	noun:b1	safety	act2-speech-0257 | GILES | safety | I tell you I'm worrying about my wife's safety.
SAFE	silly	adjective:b1	silly	act2-speech-0381 | MOLLIE | silly | It's silly of me. But you see ― I found her. Her face was all purple. I can't forget it...
SAFE	slight	adjective:b2	slight	act2-speech-0372 | TROTTER | slight | Yes, Miss Casewell. I do. Three blind mice. Two mice cancelled out ― a third mouse still to be dealt with. There are six of you here listening to me. One of you's a killer! One of you's a killer. I don't know which yet, but I shall. And another of you is the killer's prospective victim. That's the person I'm speaking to. Mrs. Boyle held out on me ― Mrs. Boyle is dead. You ― whoever you are ― are holding out on me. Well ― don't. Because you're in danger. Nobody who's killed twice is going to hesitate to kill a third time. And as it is, I don't know which of you it is who needs protection. Come on, now, anybody here who has anything, however slight, to reproach themselves for in that bygone business, had better come out with it. All right ― you won't. I'll get the killer ― I've no doubt of that ― but it may be too late for one of you. And I'll tell you another thing. The killer's enjoying this. Yes, he's enjoying himself a good deal... All right ― you can go.
SAFE	sudden	adjective:b1	sudden	act2-speech-0306 | GILES | sudden | Mollie, what's come over you? You're different all of a sudden. I feel as though I don't know you any more.
SAFE	suffer	verb:b1	suffered	act2-speech-0307 | MOLLIE | suffered | Perhaps you never did know me. We've been married how long ― a year? But you don't really know anything about me. What I'd done or thought or felt or suffered before you knew me.
SAFE	surely	adverb:b1	surely	act2-speech-0242 | CHRISTOPHER | surely | Good Lord, Mollie. Surely you don't think ― the Sergeant doesn't think...
SAFE	tail	noun:b1	tails	act2-speech-0379 | PARAVICINI | tails | But such a gay little tune? Don't you think? She cut off their tails with a carving knife ― snick, snick, snick ― delicious. Just what a child would adore. Cruel little things, children. Some of them never grow up.
SAFE	trust	noun:b2,verb:b2	trust	act2-speech-0243 | MOLLIE | trust | I don't know what the Sergeant thinks. And he can make you think things about people. You ask yourself questions and you begin to doubt. You feel that somebody you love and know well might be ― a stranger. That's what happens in a nightmare. You're somewhere in the middle of friends and then you suddenly look at their faces and they're not your friends any longer ― they're different people ― just pretending. Perhaps you can't trust anybody ― perhaps everybody's a stranger.
SAFE	unknown	adjective:b2	unknown	act2-speech-0204 | CHRISTOPHER | unknown | We needn't go into that. I ran away whilst I was doing my Army service. It was all so beastly ― I hated it. Yes, I'm just like the unknown murderer. I told you I was the one the specification fitted. You see, my mother my mother...
SAFE	upset	adjective:b1,verb:b1	upset	act2-speech-0384 | TROTTER | upset | What did you say to the lady to upset her, sir?
SAFE	used	adjective:b1	used	act2-speech-0202 | CHRISTOPHER | used | Call myself Christopher Wren? It just amused me. And then they used to laugh at me at school and call me little Christopher Robin. Robin ― Wren ― association of ideas. It was hell being at school.
SAFE	whether	conjunction:b1	whether	act2-speech-0363 | MAJOR METCALF | whether | No good shouting at me, young fellow. I wasn't thinking about any damned skis. I was interested in the cellars. Architecture of this place is very interesting. I opened the other door and I went on down. So I can't tell you whether the skis were there or not.
SAFE	whilst	conjunction:c1	whilst	act2-speech-0204 | CHRISTOPHER | whilst | We needn't go into that. I ran away whilst I was doing my Army service. It was all so beastly ― I hated it. Yes, I'm just like the unknown murderer. I told you I was the one the specification fitted. You see, my mother my mother... || act2-speech-0286 | GILES | whilst | Whilst I was safely away racing round the countryside. || act2-speech-0287 | MOLLIE | whilst | Whilst you were racing round the country-side...
SAFE	wire	noun:b2	wire	act2-speech-0237 | MOLLIE | wire | But he wasn't. He went off in the car to look for chicken wire, but he couldn't find any.
SAFE	wise	adjective:b2	wise	act2-speech-0377 | PARAVICINI | wise | He is very wise. Take no chances. Can I prove to you or to him or to our dogged Sergeant that I am not a homicidal maniac? So difficult to prove a negative. And suppose that instead I am really...
SAFE	wonder	noun:b1,verb:b1	wonder,wondering	act2-speech-0387 | PARAVICINI | wonder | Now I do wonder what you mean by that, Sergeant? || act2-speech-0388 | TROTTER | wondering | I've been doing a little wondering about you, sir. || act2-speech-0390 | TROTTER | wondering | I've been wondering about that car of yours, and how it happened to overturn in a snowdrift so conveniently.
AMBIG	address	noun:a1,verb:b2	address	act2-speech-0396 | TROTTER | address | And what was the name and address of this friend? || act2-speech-0412 | TROTTER | address | What address in London? || act2-speech-0414 | TROTTER | address | Very nice, too, I'm sure. What is your permanent address?
AMBIG	back	adjective:a2,adverb:a1,noun:a1,verb:b2	back	act2-speech-0291 | MOLLIE | back | So did you. You brought back an evening paper. || act2-speech-0320 | TROTTER | back | Mr. Ralston ― Mrs. Ralston ― have you removed my skis from the cupboard back there where we put them? || act2-speech-0351 | MISS CASEWELL | back | By the back stairs.
AMBIG	bear	noun:a2,verb:b2	bear	act2-speech-0207 | MOLLIE | bear | You can't go on being looked after all your life. Things happen to you. And you've got to bear them ― you've got to go on just as usual.
