SCN-A01-S01
0001|PREAMBLE|-|2-3|21
0002|R|1|3-3|14
0003|M|2|3-4|23
0004|G|3|4-4|5
0005|M|4|4-4|2
0006|G|5|4-4|2
0007|M|6|4-4|1
0008|G|7|4-4|2
0009|M|8|4-4|2
0010|G|9|4-4|3
0011|M|10|4-4|2
0012|G|11|4-4|8
0013|M|12|4-4|3
0014|G|13|4-4|4
0015|M|14|4-5|3
0016|G|15|5-5|2
0017|M|16|5-5|4
0018|G|17|5-5|2
0019|M|18|5-5|2
0020|G|19|5-5|1
0021|M|20|5-5|3
0022|G|21|5-5|2
0023|M|22|5-5|5
0024|G|23|5-5|2
0025|M|24|5-5|4
0026|G|25|5-5|4
0027|M|26|5-5|3
0028|G|27|5-5|3
0029|M|28|5-5|1
0030|G|29|5-5|1
0031|M|30|5-5|2
0032|G|31|5-5|1
0033|M|32|5-6|6
0034|G|33|6-6|2
0035|M|34|6-6|1
0036|G|35|6-6|1
0037|M|36|6-6|3
0038|G|37|6-6|3
0039|M|38|6-6|1
0040|G|39|6-6|3
0041|M|40|6-6|1
0042|G|41|6-6|3
0043|R|42|6-7|10
0044|M|43|7-7|1
0045|C|44|7-7|14
0046|M|45|7-7|1
0047|C|46|7-7|11
0048|M|47|7-7|1
0049|C|48|7-7|3
0050|M|49|7-7|2
0051|C|50|7-8|6
0052|M|51|8-8|3
0053|C|52|8-8|5
0054|M|53|8-8|1
0055|C|54|8-8|10
0056|G|55|8-8|3
0057|M|56|8-8|1
0058|C|57|8-8|1
0059|G|58|8-8|2
0060|C|59|8-8|3
0061|M|60|8-8|2
0062|C|61|9-9|5
0063|M|62|9-9|1
0064|C|63|9-9|4
0065|M|64|9-9|3
0066|C|65|9-9|6
0067|M|66|9-9|2
0068|C|67|9-9|11
0069|G|68|9-9|1
0070|C|69|9-9|1
0071|M|70|9-9|2
0072|C|71|9-10|5
0073|M|72|10-10|2
0074|C|73|10-10|1
0075|M|74|10-10|7
0076|B|75|10-10|1
0077|G|76|10-10|3
0078|B|77|10-10|2
0079|G|78|10-10|6
0080|B|79|10-10|1
0081|G|80|10-10|2
0082|B|81|10-10|6
0083|G|82|10-10|2
0084|B|83|10-10|1
0085|G|84|10-11|7
0086|B|85|11-11|4
0087|M|86|11-11|1
0088|B|87|11-11|1
0089|M|88|11-11|5
0090|B|89|11-11|1
0091|M|90|11-11|1
0092|B|91|11-11|2
0093|M|92|11-11|1
0094|B|93|11-11|6
0095|M|94|11-11|1
0096|B|95|11-11|1
0097|M|96|11-11|1
0098|B|97|11-11|2
0099|G|98|11-12|6
0100|K|99|12-12|12
0101|G|100|12-12|4
0102|M|101|12-12|3
0103|G|102|12-12|2
0104|K|103|12-12|4
0105|B|104|12-12|1
0106|M|105|12-12|1
0107|B|106|12-12|1
0108|M|107|12-12|3
0109|B|108|12-12|2
0110|M|109|12-12|1
0111|B|110|12-12|3
0112|M|111|12-12|1
0113|B|112|12-12|2
0114|M|113|12-13|2
0115|C|114|13-13|4
0116|M|115|13-13|3
0117|B|116|13-13|1
0118|C|117|13-13|2
0119|B|118|13-13|5
0120|G|119|13-13|1
0121|B|120|13-13|1
0122|G|121|13-13|6
0123|B|122|13-14|5
0124|M|123|14-14|6
0125|C|124|14-14|4
0126|G|125|14-14|10
0127|S|126|14-14|1
0128|G|127|14-14|3
0129|S|128|14-14|4
0130|G|129|14-14|1
0131|S|130|14-14|2
0132|G|131|14-14|1
0133|S|132|14-14|7
0134|G|133|15-15|3
0135|S|134|15-15|3
0136|C|135|15-15|1
0137|S|136|15-15|2
0138|C|137|15-15|2
0139|S|138|15-15|5
0140|C|139|15-15|4
0141|S|140|15-15|2
0142|C|141|15-15|1
0143|S|142|15-15|1
0144|G|143|15-15|1
0145|C|144|15-15|2
0146|G|145|15-15|1
0147|C|146|15-15|2
0148|S|147|15-15|2
0149|G|148|15-15|2
0150|S|149|15-16|3
0151|M|150|16-16|3
0152|S|151|16-16|12
0153|M|152|16-16|8
0154|G|153|16-16|6
0155|M|154|16-16|4
0156|C|155|16-16|3
0157|M|156|16-17|10
0158|G|157|17-17|1
0159|M|158|17-17|1
0160|G|159|17-17|2
0161|M|160|17-17|1
0162|G|161|17-17|2
0163|M|162|17-17|2
0164|G|163|17-17|3
0165|M|164|17-17|4
0166|G|165|17-17|1
0167|M|166|17-17|2
0168|G|167|17-17|1
0169|M|168|17-17|1
0170|G|169|17-17|5
0171|M|170|17-17|1
0172|G|171|17-17|1
0173|M|172|17-17|3
0174|G|173|18-18|8
0175|P|174|18-18|2
0176|G|175|18-18|1
0177|P|176|18-18|16
0178|G|177|18-18|1
0179|M|178|18-18|1
0180|P|179|18-18|1
0181|M|180|18-18|1
0182|P|181|18-18|1
0183|G|182|18-18|1
0184|P|183|18-18|2
0185|G|184|18-18|1
0186|P|185|18-18|6
0187|M|186|19-19|5
0188|P|187|19-19|1
0189|M|188|19-19|1
0190|P|189|19-19|35
0191|CURTAIN|-|19|0
