SCN-A02-S01
FORMAT: seq|type_or_speaker|source_label_ordinal|pdf_page_start-pdf_page_end|spoken_sentence_count
0001|PREAMBLE|-|44-44|0
0002|T|1|44-44|1
0003|M|2|44-44|2
0004|T|3|44-44|3
0005|M|4|44-44|4
0006|T|5|44-44|1
0007|M|6|44-44|1
0008|T|7|44-44|3
0009|M|8|44-44|1
0010|T|9|44-44|1
0011|M|10|44-44|1
0012|T|11|44-44|6
0013|M|12|44-44|2
0014|G|13|45-45|2
0015|T|14|45-45|7
0016|G|15|45-45|3
0017|T|16|45-45|1
0018|G|17|45-45|2
0019|T|18|45-45|1
0020|G|19|45-45|1
0021|T|20|45-45|4
0022|S|21|45-45|2
0023|T|22|45-45|8
0024|M|23|45-45|3
0025|T|24|45-46|4
0026|G|25|46-46|4
0027|T|26|46-46|1
0028|G|27|46-46|1
0029|T|28|46-46|1
0030|G|29|46-46|1
0031|T|30|46-46|2
0032|C|31|46-46|3
0033|T|32|46-46|1
0034|C|33|46-46|2
0035|T|34|46-46|1
0036|C|35|46-46|1
0037|T|36|46-46|1
0038|C|37|46-46|1
0039|T|38|46-46|1
0040|C|39|46-46|1
0041|T|40|46-46|1
0042|C|41|46-46|1
0043|T|42|47-47|1
0044|C|43|47-47|2
0045|T|44|47-47|1
0046|C|45|47-47|1
0047|T|46|47-47|2
0048|P|47|47-47|2
0049|T|48|47-47|2
0050|P|49|47-47|2
0051|M|50|47-47|1
0052|T|51|47-47|1
0053|P|52|47-47|4
0054|M|53|47-47|1
0055|P|54|47-47|2
0056|T|55|47-47|2
0057|P|56|47-47|2
0058|T|57|47-47|2
0059|P|58|47-47|1
0060|T|59|47-47|1
0061|P|60|48-48|3
0062|T|61|48-48|4
0063|S|62|48-48|1
0064|T|63|48-48|1
0065|S|64|48-48|1
0066|T|65|48-48|1
0067|S|66|48-48|1
0068|T|67|48-48|1
0069|S|68|48-48|1
0070|T|69|48-48|1
0071|S|70|48-48|1
0072|T|71|48-48|1
0073|S|72|48-48|1
0074|T|73|48-48|1
0075|S|74|48-48|1
0076|T|75|48-48|1
0077|S|76|48-48|1
0078|T|77|48-48|2
0079|S|78|48-49|2
0080|T|79|49-49|3
0081|K|80|49-49|7
0082|M|81|49-49|1
0083|K|82|49-49|3
0084|T|83|49-49|5
0085|K|84|49-49|1
0086|C|85|49-49|1
0087|K|86|49-49|2
0088|T|87|49-49|2
0089|P|88|49-49|1
0090|G|89|49-49|2
0091|T|90|49-49|1
0092|G|91|49-49|1
0093|T|92|49-50|7
0094|G|93|50-50|2
0095|T|94|50-50|1
0096|G|95|50-50|4
0097|C|96|50-50|5
0098|K|97|50-50|1
0099|M|98|50-50|3
0100|T|99|50-50|1
0101|M|100|50-50|1
0102|T|101|50-50|3
0103|G|102|51-51|4
0104|M|103|51-51|2
0105|T|104|51-51|2
0106|G|105|51-51|1
0107|M|106|51-51|1
0108|G|107|51-51|2
0109|M|108|51-51|1
0110|T|109|51-51|1
0111|M|110|51-51|1
0112|T|111|51-51|3
0113|M|112|51-51|2
0114|T|113|51-51|3
0115|M|114|51-51|1
0116|T|115|52-52|1
0117|M|116|52-52|1
0118|T|117|52-52|2
0119|M|118|52-52|3
0120|T|119|52-52|1
0121|M|120|52-52|1
0122|T|121|52-52|2
0123|M|122|52-52|1
0124|T|123|52-52|2
0125|M|124|52-52|1
0126|T|125|52-52|2
0127|M|126|52-52|1
0128|T|127|52-52|1
0129|M|128|52-52|1
0130|T|129|52-52|1
0131|M|130|52-52|1
0132|T|131|52-52|1
0133|M|132|52-52|4
0134|T|133|53-53|1
0135|M|134|53-53|3
0136|T|135|53-53|1
0137|M|136|53-53|2
0138|T|137|53-53|1
0139|M|138|53-53|1
0140|T|139|53-53|1
0141|M|140|53-53|4
0142|T|141|53-53|1
0143|M|142|53-53|2
0144|T|143|53-53|4
0145|M|144|53-53|1
0146|T|145|53-53|5
0147|M|146|53-53|1
0148|T|147|53-53|3
0149|M|148|54-54|1
0150|T|149|54-54|4
0151|M|150|54-54|1
0152|T|151|54-54|4
0153|M|152|54-54|2
0154|T|153|54-54|1
0155|M|154|54-54|1
0156|T|155|54-54|1
0157|M|156|54-54|2
0158|T|157|54-54|1
0159|M|158|54-54|2
0160|T|159|54-54|1
0161|M|160|54-54|2
0162|T|161|54-54|1
0163|M|162|54-54|1
0164|T|163|54-54|1
0165|M|164|54-54|1
0166|T|165|54-55|11
0167|M|166|55-55|2
0168|T|167|55-55|1
0169|M|168|55-55|6
0170|T|169|55-55|2
0171|M|170|55-55|1
0172|T|171|55-55|1
0173|M|172|55-55|1
0174|T|173|55-55|3
0175|M|174|55-55|1
0176|T|175|55-55|2
0177|M|176|55-55|1
0178|T|177|55-55|3
0179|M|178|55-55|1
0180|T|179|55-55|2
0181|C|180|56-56|1
0182|M|181|56-56|1
0183|C|182|56-56|2
0184|M|183|56-56|1
0185|C|184|56-56|1
0186|M|185|56-56|1
0187|C|186|56-56|3
0188|M|187|56-56|1
0189|C|188|56-56|1
0190|M|189|56-56|1
0191|C|190|56-56|2
0192|M|191|56-56|2
0193|C|192|56-56|1
0194|M|193|56-56|1
0195|C|194|56-56|1
0196|M|195|56-56|1
0197|C|196|56-56|1
0198|M|197|56-56|1
0199|C|198|56-56|1
0200|M|199|56-56|1
0201|C|200|56-56|1
0202|M|201|56-56|1
0203|C|202|57-57|5
0204|M|203|57-57|1
0205|C|204|57-57|6
0206|M|205|57-57|1
0207|C|206|57-57|2
0208|M|207|57-57|3
0209|C|208|57-57|1
0210|M|209|57-57|1
0211|C|210|57-57|1
0212|M|211|57-57|1
0213|C|212|57-57|2
0214|M|213|57-57|1
0215|C|214|57-57|1
0216|M|215|57-57|1
0217|C|216|57-57|2
0218|M|217|57-57|3
0219|C|218|57-57|2
0220|M|219|58-58|2
0221|C|220|58-58|1
0222|M|221|58-58|2
0223|C|222|58-58|1
0224|M|223|58-58|1
0225|C|224|58-58|2
0226|M|225|58-58|2
0227|C|226|58-58|1
0228|M|227|58-58|3
0229|C|228|58-58|1
0230|M|229|58-58|3
0231|C|230|58-58|1
0232|M|231|58-58|1
0233|C|232|58-58|2
0234|M|233|58-58|1
0235|C|234|58-58|1
0236|M|235|58-58|4
0237|C|236|58-58|1
