MOUSETRAP SCRIPT TRAINER - 003-03A A02S01 FIRST HALF COMPACT CHUNK DATA
Data part: 3/3
Scene: SCN-A02-S01
Coverage: first half / units 0002-0320
Records: 196
First: 0209.01
Last: 0320.01
SCHEMA: UNITSEQ.SENTNN[!]|chunkNN@charStart-charEnd:ROLE:GRAMMAR;...
!: content-reviewed high-risk sentence; absence means automated + structural QA passed.
Chunk ID derivation: CHK-SEN-U-A02-S01-{UNITSEQ}-{SENTNN}-{chunkNN}

0209.01|01@0-4:S:NP;02@4-13:V:VP;03@13-18:O:NC
0210.01|01@0-5:M:AdvP;02@5-9:S:NP;03@9-13:V:VP
0211.01|01@0-4:S:NP;02@4-11:V:VP;03@11-15:S':NP;04@15-20:V:VP
0212.01|01@0-4:M:AdvP
0213.01|01@0-5:O:NP;02@5-9:V:VP;03@9-12:C:NP
0213.02|01@0-19:S:NP
0214.01|01@0-10:S:NP;02@10-11:S:NP;03@11-31:V:VP
0215.01|01@0-4:V:VP;02@4-7:S:NP;03@7-13:C:Inf;04@13-24:M:PP
0216.01|01@0-4:M:AdvP;02@4-7:S:NP;03@7-11:V:VP;04@11-16:O:NP;05@16-35:M:AdvC
0217.01|01@0-4:S:NP;02@4-19:V:VP;03@19-30:O:NP
0217.02|01@0-15:S:NP
0218.01|01@0-8:M:AdvP;02@8-12:S:NP;03@12-15:V:VP;04@15-22:C:NP;05@22-26:V:VP;06@26-37:O:NP
0218.02!|01@0-3:S:NP;02@3-7:V:VP;03@7-29:C:AdjP;04@29-31:S':NP;05@31-35:V':VP;06@35-60:C':Inf
0218.03|01@0-2:S:NP;02@2-6:V:VP;03@6-12:M:AdvP;04@12-27:C:FixedExpression;05@27-30:O:NP
0219.01|01@0-26:V:PhrasalVerb;02@26-30:O:NP
0219.02|01@0-13:V:PhrasalVerb;02@13-27:M:PP;03@27-35:O:NP;04@35-50:M:PP
0220.01|01@0-6:M:AdvP;02@6-15:S:NP;03@15-25:M:PP;04@25-27:C:NP;05@27-30:V:VP
0220.02!|01@0-50:M:AdvC;02@50-53:S:NP;03@53-58:V:VP;04@58-89:C:Inf
0221.01!|01@0-5:M:AdvP;02@5-7:S:NP;03@7-10:V:VP;04@10-15:C:NP;05@15-21:V:VP;06@21-24:S':NP
0222.01|01@0-2:S:NP;02@2-13:V:VP
0222.02|01@0-2:S:NP;02@2-18:V:VP;03@18-25:O:NP;04@25-39:O:NP;05@39-50:M:PP
0223.01|01@0-8:M:AdvP;02@8-12:S:NP;03@12-18:V:VP;04@18-20:O:NP;05@20-29:V:FixedExpression;06@29-42:O:NP
0224.01|01@0-6:M:AdvP;02@6-15:S:NP;03@15-25:C:NP;04@25-29:V:VP;05@29-33:S':NP;06@33-36:V:VP
0225.01|01@0-2:S:NP;02@2-8:V:VP;03@8-29:O:NP;04@29-34:V:VP
0225.02|01@0-2:S:NP;02@2-16:V:VP;03@16-21:O:NP
0226.01|01@0-33:O:NC
0226.02|01@0-3:S:NP;02@3-12:V:VP;03@12-19:O:NP;04@19-48:M:PP
0227.01|01@0-17:S:NP;02@17-28:V:VP;03@28-35:O:NP
0228.01|01@0-4:M:AdvP;02@4-7:S:NP;03@7-15:V:VP
0228.02|01@0-11:M:PP;02@11-13:S:NP;03@13-24:V:VP;04@24-32:O:NP;05@32-39:V:VP
0228.03|01@0-2:S:NP;02@2-7:V:VP;03@7-13:O:NP;04@13-15:O:NP;05@15-20:V:VP;06@20-26:O:NP;07@26-28:O:NP;08@28-33:V:VP;09@33-39:O:NP
0229.01|01@0-4:O:NP
0230.01|01@0-17:S:NP
0230.02|01@0-3:S:NP;02@3-8:V:VP;03@8-15:O:NP;04@15-30:M:PP
